timeframe,pair,meses_con_smurf,tx_smurf_totales,monto_smurf_total,riesgo_promedio_mes,riesgo_max,tendencia_riesgo,interpretabilidad
todo_el_tiempo,P0014→P0245,1,1,65111.5,1.5478983095436736,1.5478983095436736,estable,"En 'todo_el_tiempo', el par P0014→P0245 mostró fraccionamiento (smurfing) en 1 meses, acumulando 65,111.50 en 1 transacciones. El riesgo promedio mensual fue 1.55, con pico de 1.55 y tendencia estable (inicio 1.55 → fin 1.55). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0079→P0243,1,1,65038.68,2.372000298304509,2.372000298304509,estable,"En 'todo_el_tiempo', el par P0079→P0243 mostró fraccionamiento (smurfing) en 1 meses, acumulando 65,038.68 en 1 transacciones. El riesgo promedio mensual fue 2.37, con pico de 2.37 y tendencia estable (inicio 2.37 → fin 2.37). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0147→P0016,1,1,63711.16,1.9123396819484977,1.9123396819484977,estable,"En 'todo_el_tiempo', el par P0147→P0016 mostró fraccionamiento (smurfing) en 1 meses, acumulando 63,711.16 en 1 transacciones. El riesgo promedio mensual fue 1.91, con pico de 1.91 y tendencia estable (inicio 1.91 → fin 1.91). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0030→P0272,1,1,62603.42,1.366754784392534,1.366754784392534,estable,"En 'todo_el_tiempo', el par P0030→P0272 mostró fraccionamiento (smurfing) en 1 meses, acumulando 62,603.42 en 1 transacciones. El riesgo promedio mensual fue 1.37, con pico de 1.37 y tendencia estable (inicio 1.37 → fin 1.37). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0317→P0033,1,1,62494.23,1.50154551315084,1.50154551315084,estable,"En 'todo_el_tiempo', el par P0317→P0033 mostró fraccionamiento (smurfing) en 1 meses, acumulando 62,494.23 en 1 transacciones. El riesgo promedio mensual fue 1.50, con pico de 1.50 y tendencia estable (inicio 1.50 → fin 1.50). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0126→P0065,1,1,61410.1,1.6297398408478558,1.6297398408478558,estable,"En 'todo_el_tiempo', el par P0126→P0065 mostró fraccionamiento (smurfing) en 1 meses, acumulando 61,410.10 en 1 transacciones. El riesgo promedio mensual fue 1.63, con pico de 1.63 y tendencia estable (inicio 1.63 → fin 1.63). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0121→P0088,1,1,60942.41,1.2946445930256192,1.2946445930256192,estable,"En 'todo_el_tiempo', el par P0121→P0088 mostró fraccionamiento (smurfing) en 1 meses, acumulando 60,942.41 en 1 transacciones. El riesgo promedio mensual fue 1.29, con pico de 1.29 y tendencia estable (inicio 1.29 → fin 1.29). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0022→P0019,1,1,59301.05,1.4826120062777948,1.4826120062777948,estable,"En 'todo_el_tiempo', el par P0022→P0019 mostró fraccionamiento (smurfing) en 1 meses, acumulando 59,301.05 en 1 transacciones. El riesgo promedio mensual fue 1.48, con pico de 1.48 y tendencia estable (inicio 1.48 → fin 1.48). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0030→P0192,1,1,58572.67,1.288450171407548,1.288450171407548,estable,"En 'todo_el_tiempo', el par P0030→P0192 mostró fraccionamiento (smurfing) en 1 meses, acumulando 58,572.67 en 1 transacciones. El riesgo promedio mensual fue 1.29, con pico de 1.29 y tendencia estable (inicio 1.29 → fin 1.29). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0006→P0306,1,1,58349.57,0.9486091253728021,0.9486091253728021,estable,"En 'todo_el_tiempo', el par P0006→P0306 mostró fraccionamiento (smurfing) en 1 meses, acumulando 58,349.57 en 1 transacciones. El riesgo promedio mensual fue 0.95, con pico de 0.95 y tendencia estable (inicio 0.95 → fin 0.95). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0111→P0089,1,1,57435.57,1.9469987208831339,1.9469987208831339,estable,"En 'todo_el_tiempo', el par P0111→P0089 mostró fraccionamiento (smurfing) en 1 meses, acumulando 57,435.57 en 1 transacciones. El riesgo promedio mensual fue 1.95, con pico de 1.95 y tendencia estable (inicio 1.95 → fin 1.95). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0166→P0255,1,1,57212.84,1.7421380514528941,1.7421380514528941,estable,"En 'todo_el_tiempo', el par P0166→P0255 mostró fraccionamiento (smurfing) en 1 meses, acumulando 57,212.84 en 1 transacciones. El riesgo promedio mensual fue 1.74, con pico de 1.74 y tendencia estable (inicio 1.74 → fin 1.74). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0091→P0161,1,1,56639.7,1.8325961682756549,1.8325961682756549,estable,"En 'todo_el_tiempo', el par P0091→P0161 mostró fraccionamiento (smurfing) en 1 meses, acumulando 56,639.70 en 1 transacciones. El riesgo promedio mensual fue 1.83, con pico de 1.83 y tendencia estable (inicio 1.83 → fin 1.83). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0043→P0022,1,1,56467.45,1.7352162416662837,1.7352162416662837,estable,"En 'todo_el_tiempo', el par P0043→P0022 mostró fraccionamiento (smurfing) en 1 meses, acumulando 56,467.45 en 1 transacciones. El riesgo promedio mensual fue 1.74, con pico de 1.74 y tendencia estable (inicio 1.74 → fin 1.74). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0030→P0170,1,1,55884.14,1.2334690986322705,1.2334690986322705,estable,"En 'todo_el_tiempo', el par P0030→P0170 mostró fraccionamiento (smurfing) en 1 meses, acumulando 55,884.14 en 1 transacciones. El riesgo promedio mensual fue 1.23, con pico de 1.23 y tendencia estable (inicio 1.23 → fin 1.23). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
