timeframe,pair,meses_con_smurf,tx_smurf_totales,monto_smurf_total,riesgo_promedio_mes,riesgo_max,tendencia_riesgo,interpretabilidad
todo_el_tiempo,P0220→P0261,1,1,81536.53,1.7924308887702098,1.7924308887702098,estable,"En 'todo_el_tiempo', el par P0220→P0261 mostró fraccionamiento (smurfing) en 1 meses, acumulando 81,536.53 en 1 transacciones. El riesgo promedio mensual fue 1.79, con pico de 1.79 y tendencia estable (inicio 1.79 → fin 1.79). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0067→P0271,1,1,80687.31,2.1913851514668603,2.1913851514668603,estable,"En 'todo_el_tiempo', el par P0067→P0271 mostró fraccionamiento (smurfing) en 1 meses, acumulando 80,687.31 en 1 transacciones. El riesgo promedio mensual fue 2.19, con pico de 2.19 y tendencia estable (inicio 2.19 → fin 2.19). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0179→P0317,1,1,75794.0,1.4631708549395497,1.4631708549395497,estable,"En 'todo_el_tiempo', el par P0179→P0317 mostró fraccionamiento (smurfing) en 1 meses, acumulando 75,794.00 en 1 transacciones. El riesgo promedio mensual fue 1.46, con pico de 1.46 y tendencia estable (inicio 1.46 → fin 1.46). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0261→P0147,1,1,72351.69,2.1177430478485912,2.1177430478485912,estable,"En 'todo_el_tiempo', el par P0261→P0147 mostró fraccionamiento (smurfing) en 1 meses, acumulando 72,351.69 en 1 transacciones. El riesgo promedio mensual fue 2.12, con pico de 2.12 y tendencia estable (inicio 2.12 → fin 2.12). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0186→P0319,1,1,70171.36,1.2946445930256192,1.2946445930256192,estable,"En 'todo_el_tiempo', el par P0186→P0319 mostró fraccionamiento (smurfing) en 1 meses, acumulando 70,171.36 en 1 transacciones. El riesgo promedio mensual fue 1.29, con pico de 1.29 y tendencia estable (inicio 1.29 → fin 1.29). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0271→P0052,1,1,68982.09,2.084759817130569,2.084759817130569,estable,"En 'todo_el_tiempo', el par P0271→P0052 mostró fraccionamiento (smurfing) en 1 meses, acumulando 68,982.09 en 1 transacciones. El riesgo promedio mensual fue 2.08, con pico de 2.08 y tendencia estable (inicio 2.08 → fin 2.08). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0296→P0271,1,1,68731.08,2.057418569673395,2.057418569673395,estable,"En 'todo_el_tiempo', el par P0296→P0271 mostró fraccionamiento (smurfing) en 1 meses, acumulando 68,731.08 en 1 transacciones. El riesgo promedio mensual fue 2.06, con pico de 2.06 y tendencia estable (inicio 2.06 → fin 2.06). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0239→P0134,1,1,65744.96,2.054042780079086,2.054042780079086,estable,"En 'todo_el_tiempo', el par P0239→P0134 mostró fraccionamiento (smurfing) en 1 meses, acumulando 65,744.96 en 1 transacciones. El riesgo promedio mensual fue 2.05, con pico de 2.05 y tendencia estable (inicio 2.05 → fin 2.05). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0283→P0029,1,1,65711.84,2.0977066622262366,2.0977066622262366,estable,"En 'todo_el_tiempo', el par P0283→P0029 mostró fraccionamiento (smurfing) en 1 meses, acumulando 65,711.84 en 1 transacciones. El riesgo promedio mensual fue 2.10, con pico de 2.10 y tendencia estable (inicio 2.10 → fin 2.10). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
todo_el_tiempo,P0078→P0096,1,1,65160.0,2.0091607857790033,2.0091607857790033,estable,"En 'todo_el_tiempo', el par P0078→P0096 mostró fraccionamiento (smurfing) en 1 meses, acumulando 65,160.00 en 1 transacciones. El riesgo promedio mensual fue 2.01, con pico de 2.01 y tendencia estable (inicio 2.01 → fin 2.01). Se utilizó una heurística de montos pequeños repetidos ante la ausencia de alertas explícitas. Se relajó la cantidad mínima de meses para exponer un patrón persistente."
