cluster_id,cluster_personas_total,cluster_tx_count,cluster_tx_sum,riesgo_cluster_maximo,riesgo_cluster_promedio,interp_cluster
cluster_5,2,1,22629.22,1.5413596623956958,1.5413596623956958,"2 personas con 1 tx ($22,629). Riesgo max 1.54."
cluster_10,2,1,28504.48,1.4745106752039938,1.4745106752039938,"2 personas con 1 tx ($28,504). Riesgo max 1.47."
cluster_4,2,1,18051.49,1.3281367953497423,1.3281367953497423,"2 personas con 1 tx ($18,051). Riesgo max 1.33."
cluster_2,3,2,17861.39,1.3127422880798414,1.2229973340463847,"3 personas con 2 tx ($17,861). Riesgo max 1.31."
cluster_9,2,1,49299.88,1.2721376216139735,1.2721376216139735,"2 personas con 1 tx ($49,300). Riesgo max 1.27."
